question,choice,choice_index,color,total_coverage
16,d,4,purple,3312.062744140625
17,a,1,red,9203.8203125
17,b,2,blue,15217.376953125
17,c,3,green,2423.447021484375
17,d,4,purple,8435.822265625
17,e,5,orange,3159.978271484375
18,a,1,red,12853.9677734375
18,b,2,blue,11533.125
18,c,3,green,4694.7646484375
18,d,4,purple,9566.435546875
18,e,5,orange,838.81005859375
19,a,1,red,17047.1640625
19,b,2,blue,4619.3056640625
19,c,3,green,5092.09765625
19,d,4,purple,2821.31396484375
20,a,1,red,13806.8896484375
20,b,2,blue,13089.4873046875
20,c,3,green,2181.051025390625
21,a,1,red,6028.412109375
21,b,2,blue,5232.2900390625
21,c,3,green,7181.3330078125
21,d,4,purple,11854.5322265625
21,e,5,orange,1456.498291015625
21,f,6,cyan,9935.7021484375
21,g,7,magenta,3598.831298828125
21,h,8,brown,4312.48876953125
22,a,1,red,11359.2314453125
22,b,2,blue,16495.572265625
23,a,1,red,13238.1181640625
23,b,2,blue,11818.9765625
23,c,3,green,5320.13720703125
23,d,4,purple,7622.2919921875
24,a,1,red,13118.560546875
24,b,2,blue,12130.603515625
24,c,3,green,8802.7568359375
24,d,4,purple,1429.28564453125
24,e,5,orange,2502.94287109375
25,a,1,red,16089.9453125
25,b,2,blue,2889.7568359375
25,c,3,green,10226.466796875
26,a,1,red,9128.03125
26,b,2,blue,10646.953125
26,c,3,green,11434.294921875
26,d,4,purple,7439.33935546875
26,e,5,orange,2426.9912109375
26,f,6,cyan,1518.199951171875
27,a,1,red,5084.09423828125
27,b,2,blue,10742.341796875
27,c,3,green,16048.1015625
27,d,4,purple,2751.7998046875
28,a,1,red,14054.7412109375
28,b,2,blue,12908.1171875
29,a,1,red,16152.98828125
29,b,2,blue,6684.494140625
29,c,3,green,4471.1845703125
29,d,4,purple,7302.1025390625
29,e,5,orange,2267.11181640625
30,a,1,red,18392.14453125
30,b,2,blue,5198.60791015625
31,a,1,red,5775.7021484375
31,b,2,blue,14771.9921875
31,c,3,green,12035.0234375
31,d,4,purple,1836.7828369140625
32,a,1,red,13280.0322265625
32,b,2,blue,11059.318359375
32,c,3,green,5103.09814453125
32,d,4,purple,8816.3828125
32,e,5,orange,775.9390258789062
32,f,6,cyan,801.678466796875
33,a,1,red,11381.8154296875
33,b,2,blue,14149.8515625
33,c,3,green,9185.0625
33,d,4,purple,732.24267578125
34,a,1,red,15433.5107421875
34,b,2,blue,6590.1767578125
34,c,3,green,8076.63525390625
34,d,4,purple,5218.2646484375
34,e,5,orange,2472.2158203125
35,a,1,red,13168.763671875
35,b,2,blue,13367.84375
35,c,3,green,6560.6552734375
35,d,4,purple,1466.023193359375
36,a,1,red,12386.8515625
36,b,2,blue,15243.9453125
36,c,3,green,2193.14892578125
37,a,1,red,18927.2265625
37,b,2,blue,1932.588134765625
37,c,3,green,1662.7647705078125
37,d,4,purple,806.6494140625
38,a,1,red,17652.24609375
38,b,2,blue,7128.2900390625
38,c,3,green,1419.2940673828125
39,a,1,red,17195.69921875
39,b,2,blue,10088.6826171875
40,a,1,red,15900.474609375
40,b,2,blue,10590.384765625
40,c,3,green,5154.00390625
40,d,4,purple,817.6534423828125
41,a,1,red,4807.55712890625
41,b,2,blue,15254.544921875
41,c,3,green,2648.10205078125
41,d,4,purple,7555.42529296875
41,e,5,orange,2236.5517578125
41,f,6,cyan,5678.416015625
41,g,7,magenta,459.14508056640625
42,a,1,red,12291.373046875
42,b,2,blue,13542.345703125
42,c,3,green,8181.7919921875
43,a,1,red,17928.52734375
43,b,2,blue,4442.73291015625
43,c,3,green,2430.768798828125
43,d,4,purple,645.1113891601562
44,a,1,red,13661.314453125
44,b,2,blue,10995.458984375
44,c,3,green,8837.3291015625
44,d,4,purple,2870.64599609375
45,a,1,red,7274.66259765625
45,b,2,blue,16283.66796875
45,c,3,green,6589.9375
45,d,4,purple,524.6224365234375
46,a,1,red,13950.0439453125
46,b,2,blue,12770.98828125
46,c,3,green,5933.7841796875
46,d,4,purple,2063.01953125
47,a,1,red,11893.1328125
47,b,2,blue,14445.517578125
47,c,3,green,5664.05908203125
47,d,4,purple,988.410400390625
48,a,1,red,10685.376953125
48,b,2,blue,16498.83203125
49,a,1,red,15794.11328125
49,b,2,blue,8948.595703125
49,c,3,green,5027.93359375
49,d,4,purple,1019.7294921875
50,a,1,red,6917.31396484375
50,b,2,blue,616.2509765625
50,c,3,green,236.5411834716797
50,d,4,purple,11785.1826171875
50,e,5,orange,319.91033935546875
50,f,6,cyan,235.05490112304688
50,g,7,magenta,8344.498046875
50,h,8,brown,4678.3828125
50,i,9,yellow,7557.525390625
51,a,1,red,12198.3916015625
51,b,2,blue,15089.6396484375
51,c,3,green,1804.88232421875
52,a,1,red,13207.458984375
52,b,2,blue,11278.1572265625
52,c,3,green,10027.302734375
53,a,1,red,7651.91796875
53,b,2,blue,16773.298828125
53,c,3,green,973.1961059570312
54,a,1,red,4521.2548828125
54,b,2,blue,18034.505859375
54,c,3,green,2436.7841796875
55,a,1,red,4497.427734375
55,b,2,blue,18067.474609375
55,c,3,green,3086.792236328125
56,a,1,red,12397.3046875
56,b,2,blue,14100.5498046875
56,c,3,green,3172.58056640625
57,a,1,red,9915.294921875
57,b,2,blue,16212.443359375
57,c,3,green,5274.521484375
58,a,1,red,965.196044921875
58,b,2,blue,12368.0439453125
58,c,3,green,12931.94921875
58,d,4,purple,2815.461669921875
58,e,5,orange,204.38278198242188
58,f,6,cyan,286.79998779296875
58,g,7,magenta,64.5058822631836
58,h,8,brown,1356.6263427734375
58,i,9,yellow,134.37255859375
58,j,10,pink,1594.237548828125
58,k,11,lightblue,3261.972412109375
58,l,12,lightgreen,1427.72900390625
59,a,1,red,4808.513671875
59,b,2,blue,5293.7333984375
59,c,3,green,6696.2236328125
59,d,4,purple,906.44970703125
59,e,5,orange,1882.1337890625
59,f,6,cyan,331.36077880859375
59,g,7,magenta,26.898040771484375
59,h,8,brown,1164.1455078125
59,i,9,yellow,0.0
59,j,10,pink,1815.0684814453125
59,k,11,lightblue,3286.93701171875
59,l,12,lightgreen,1545.9344482421875
60,a,1,red,3178.156982421875
60,b,2,blue,1497.63525390625
60,c,3,green,1321.3216552734375
60,d,4,purple,943.4730224609375
60,e,5,orange,5284.201171875
60,f,6,cyan,232.51763916015625
60,g,7,magenta,2252.278564453125
60,h,8,brown,17016.1015625
60,i,9,yellow,6091.61962890625
61,a,1,red,5093.31787109375
61,b,2,blue,1048.541259765625
61,c,3,green,4781.59228515625
61,d,4,purple,12272.44140625
61,e,5,orange,613.293701171875
61,f,6,cyan,8253.875
61,g,7,magenta,9384.0947265625
62,a,1,red,5896.15673828125
62,b,2,blue,17805.1875
62,c,3,green,138.79998779296875
62,d,4,purple,296.19488525390625
62,e,5,orange,791.7734985351562
62,f,6,cyan,132.6784210205078
62,g,7,magenta,1436.192138671875
62,h,8,brown,1190.349609375
62,i,9,yellow,2059.12939453125
62,j,10,pink,3254.994140625
63,a,1,red,18829.98828125
63,b,2,blue,796.423583984375
63,c,3,green,169.10586547851562
63,d,4,purple,271.72314453125
63,e,5,orange,205.37271118164062
63,f,6,cyan,903.7059326171875
64,a,1,red,17527.29296875
64,b,2,blue,1055.0352783203125
64,c,3,green,2840.635009765625
64,d,4,purple,1783.89208984375
64,e,5,orange,1578.930419921875
64,f,6,cyan,12.43137264251709
64,g,7,magenta,392.564697265625
64,h,8,brown,1533.580322265625
64,i,9,yellow,39.31764602661133
64,j,10,pink,2506.7119140625
64,k,11,lightblue,6724.8720703125
65,a,1,red,11100.2236328125
65,b,2,blue,8206.94140625
65,c,3,green,12916.669921875
65,d,4,purple,298.71636962890625
65,e,5,orange,368.37847900390625
65,f,6,cyan,368.2587890625
66,a,1,red,12045.490234375
66,b,2,blue,8474.3173828125
66,c,3,green,48.211769104003906
66,d,4,purple,310.60919189453125
66,e,5,orange,9933.533203125
66,f,6,cyan,143.49411010742188
66,g,7,magenta,2887.87451171875
66,h,8,brown,4391.625
67,a,1,red,17987.32421875
67,b,2,blue,1154.6588134765625
67,c,3,green,36.913726806640625
67,d,4,purple,311.72998046875
67,e,5,orange,728.0997314453125
67,f,6,cyan,27.113727569580078
67,g,7,magenta,0.0
67,h,8,brown,1384.82861328125
67,i,9,yellow,36.635292053222656
67,j,10,pink,1541.082763671875
67,k,11,lightblue,3261.972412109375
67,l,12,lightgreen,4837.0048828125
68,a,1,red,3716.035400390625
68,b,2,blue,3411.894287109375
68,c,3,green,13784.6748046875
68,d,4,purple,3554.79150390625
68,e,5,orange,1092.684326171875
68,f,6,cyan,2476.7880859375
68,g,7,magenta,10904.388671875
69,a,1,red,4606.41943359375
69,b,2,blue,3212.7763671875
69,c,3,green,13171.505859375
69,d,4,purple,7447.833984375
69,e,5,orange,2705.01513671875
69,f,6,cyan,9135.509765625
70,a,1,red,1172.9608154296875
70,b,2,blue,8628.8125
70,c,3,green,7074.1259765625
70,d,4,purple,4201.498046875
70,e,5,orange,835.0428466796875
70,f,6,cyan,9663.353515625
70,g,7,magenta,10208.3798828125
71,a,1,red,976.0391235351562
71,b,2,blue,10764.443359375
71,c,3,green,10444.498046875
71,d,4,purple,882.9732055664062
71,e,5,orange,11457.771484375
72,a,1,red,16730.650390625
72,b,2,blue,444.45098876953125
72,c,3,green,1088.819580078125
72,d,4,purple,596.1161499023438
72,e,5,orange,8946.369140625
72,f,6,cyan,3481.655029296875
73,a,1,red,9650.0
73,b,2,blue,2008.6588134765625
73,c,3,green,2779.498291015625
73,d,4,purple,311.57806396484375
73,e,5,orange,74.26441192626953
73,f,6,cyan,14274.259765625
73,g,7,magenta,1402.2353515625
73,h,8,brown,1357.2222900390625
73,i,9,yellow,300.3843078613281
73,j,10,pink,2604.8798828125
73,k,11,lightblue,6225.9287109375
74,a,1,red,7068.7099609375
74,b,2,blue,2648.2392578125
74,c,3,green,4790.521484375
74,d,4,purple,12202.88671875
74,e,5,orange,2978.869873046875
74,f,6,cyan,118.01176452636719
74,g,7,magenta,45.29411697387695
74,h,8,brown,1403.9761962890625
74,i,9,yellow,528.1058959960938
74,j,10,pink,2516.767822265625
74,k,11,lightblue,5285.8818359375
74,l,12,lightgreen,6136.8095703125
75,a,1,red,16102.3759765625
75,b,2,blue,205.21958923339844
75,c,3,green,8137.8740234375
75,d,4,purple,449.0445556640625
75,e,5,orange,447.50811767578125
75,f,6,cyan,3398.643310546875
75,g,7,magenta,267.54901123046875
75,h,8,brown,4246.22314453125
76,a,1,red,12631.9384765625
76,b,2,blue,141.61175537109375
76,c,3,green,1335.407958984375
76,d,4,purple,11159.552734375
76,e,5,orange,60.41333770751953
76,f,6,cyan,182.4862823486328
76,g,7,magenta,5240.85107421875
76,h,8,brown,3701.06884765625
76,i,9,yellow,2376.59228515625
77,a,1,red,16855.45703125
77,b,2,blue,1456.17236328125
77,c,3,green,1020.7843627929688
77,d,4,purple,6527.54248046875
78,a,1,red,11911.357421875
78,b,2,blue,8824.09375
78,c,3,green,12253.75390625
78,d,4,purple,2551.451171875
79,a,1,red,14590.0595703125
79,b,2,blue,5087.537109375
79,c,3,green,253.44708251953125
79,d,4,purple,863.3233642578125
79,e,5,orange,2067.3759765625
79,f,6,cyan,339.6313781738281
79,g,7,magenta,4076.64697265625
79,h,8,brown,1641.424560546875
79,i,9,yellow,7329.6240234375
79,j,10,pink,5590.232421875
80,a,1,red,8139.56884765625
80,b,2,blue,65.60392761230469
80,c,3,green,4689.7802734375
80,d,4,purple,476.6455993652344
80,e,5,orange,234.35650634765625
80,f,6,cyan,41.20000076293945
80,g,7,magenta,844.4823608398438
80,h,8,brown,16301.482421875
80,i,9,yellow,2923.439453125
81,a,1,red,18184.302734375
81,b,2,blue,355.1529541015625
81,c,3,green,4036.2783203125
81,d,4,purple,1671.430419921875
81,e,5,orange,72.68328857421875
81,f,6,cyan,106.09803771972656
81,g,7,magenta,1372.2705078125
81,h,8,brown,1164.1455078125
82,a,1,red,239.2196044921875
82,b,2,blue,12792.6328125
82,c,3,green,3219.82763671875
82,d,4,purple,2151.487060546875
82,e,5,orange,3947.373291015625
82,f,6,cyan,1602.2000732421875
82,g,7,magenta,884.0157470703125
82,h,8,brown,7157.625
82,i,9,yellow,551.5411376953125
82,j,10,pink,1711.6265869140625
82,k,11,lightblue,6018.20166015625
82,l,12,lightgreen,5709.03759765625
83,a,1,red,4417.32568359375
83,b,2,blue,459.54510498046875
83,c,3,green,3598.906005859375
83,d,4,purple,1424.8828125
83,e,5,orange,11121.4873046875
83,f,6,cyan,310.4745178222656
83,g,7,magenta,12476.95703125
84,a,1,red,4486.517578125
84,b,2,blue,10009.22265625
84,c,3,green,4819.458984375
84,d,4,purple,11814.0439453125
84,e,5,orange,287.4057312011719
84,f,6,cyan,7502.79296875
84,g,7,magenta,2216.302001953125
85,a,1,red,5009.458984375
85,b,2,blue,11633.0830078125
85,c,3,green,108.4117660522461
85,d,4,purple,7679.537109375
85,e,5,orange,8813.37890625
85,f,6,cyan,8821.580078125
86,a,1,red,8695.6943359375
86,b,2,blue,13549.1376953125
86,c,3,green,11453.294921875
87,a,1,red,15549.22265625
87,b,2,blue,11097.01953125
87,c,3,green,4926.8349609375
88,a,1,red,10470.6708984375
88,b,2,blue,2293.2939453125
88,c,3,green,3885.38818359375
88,d,4,purple,10976.923828125
88,e,5,orange,2595.01708984375
88,f,6,cyan,2322.80810546875
88,g,7,magenta,10676.0546875
89,a,1,red,13824.99609375
89,b,2,blue,5551.90576171875
89,c,3,green,11977.634765625
89,d,4,purple,3217.66845703125
89,e,5,orange,828.976806640625
90,a,1,red,15133.626953125
90,b,2,blue,9478.2314453125
90,c,3,green,5823.447265625
90,d,4,purple,4786.16015625
91,a,1,red,6653.1689453125
91,b,2,blue,16254.3017578125
91,c,3,green,6676.54931640625
91,d,4,purple,1379.78857421875
91,e,5,orange,438.3072509765625
92,a,1,red,3135.41552734375
92,b,2,blue,4705.85107421875
92,c,3,green,16854.7421875
93,a,1,red,1934.948974609375
93,b,2,blue,18809.375
93,c,3,green,2069.697998046875
93,d,4,purple,442.3231201171875
93,e,5,orange,885.85107421875
94,a,1,red,10687.333984375
94,b,2,blue,7524.6552734375
94,c,3,green,8908.470703125
94,d,4,purple,10682.55078125
94,e,5,orange,111.37477111816406
94,f,6,cyan,783.3529663085938
95,a,1,red,11668.435546875
95,b,2,blue,989.60400390625
95,c,3,green,1184.160888671875
95,d,4,purple,1374.332763671875
95,e,5,orange,1877.50927734375
95,f,6,cyan,13510.2421875
96,a,1,red,6992.7021484375
96,b,2,blue,5570.05859375
96,c,3,green,6900.05859375
96,d,4,purple,11882.228515625
96,e,5,orange,8727.087890625
96,f,6,cyan,1028.8548583984375
96,g,7,magenta,3169.313720703125
97,a,1,red,12850.388671875
97,b,2,blue,9301.642578125
97,c,3,green,493.2156982421875
97,d,4,purple,1453.4735107421875
97,e,5,orange,10784.9228515625
97,f,6,cyan,2291.32568359375
98,a,1,red,16463.583984375
98,b,2,blue,6198.7021484375
98,c,3,green,6209.8818359375
98,d,4,purple,2003.8096923828125
98,e,5,orange,1859.4652099609375
99,a,1,red,10850.7763671875
99,b,2,blue,8974.2822265625
99,c,3,green,8428.05859375
99,d,4,purple,1449.890869140625
99,e,5,orange,193.14337158203125
99,f,6,cyan,6060.015625
99,g,7,magenta,2918.83154296875
99,h,8,brown,3846.75830078125
100,a,1,red,7718.478515625
100,b,2,blue,699.2432250976562
100,c,3,green,5051.498046875
100,d,4,purple,15341.9150390625
100,e,5,orange,5357.08251953125
101,a,1,red,2775.486328125
101,b,2,blue,16748.140625
101,c,3,green,6715.2353515625
101,d,4,purple,819.6806640625
101,e,5,orange,5234.61181640625
102,a,1,red,13741.396484375
102,b,2,blue,653.9176025390625
102,c,3,green,6743.88232421875
102,d,4,purple,965.70556640625
102,e,5,orange,4568.33837890625
102,f,6,cyan,804.1372680664062
102,g,7,magenta,1969.188232421875
102,h,8,brown,1361.4503173828125
102,i,9,yellow,3029.7763671875
102,j,10,pink,9855.62109375
102,k,11,lightblue,6543.564453125
103,a,1,red,1183.11767578125
103,b,2,blue,304.560791015625
103,c,3,green,9665.7529296875
103,d,4,purple,15739.123046875
103,e,5,orange,1692.02734375
104,a,1,red,17877.9375
104,b,2,blue,1415.61962890625
104,c,3,green,1477.7882080078125
104,d,4,purple,3488.662353515625
104,e,5,orange,1044.5589599609375
104,f,6,cyan,4046.33740234375
105,a,1,red,10953.732421875
105,b,2,blue,8376.7646484375
105,c,3,green,6943.392578125
105,d,4,purple,578.506103515625
105,e,5,orange,3992.990234375
105,f,6,cyan,13.686275482177734
105,g,7,magenta,346.4000244140625
105,h,8,brown,1335.50537109375
105,i,9,yellow,38.60392379760742
105,j,10,pink,4269.35205078125
106,a,1,red,13982.6708984375
106,b,2,blue,3838.172607421875
106,c,3,green,8479.984375
106,d,4,purple,1380.878662109375
106,e,5,orange,2860.593505859375
106,f,6,cyan,68.8509750366211
106,g,7,magenta,3157.9609375
106,h,8,brown,2345.94677734375
107,a,1,red,2108.674560546875
107,b,2,blue,7292.548828125
107,c,3,green,15291.439453125
107,d,4,purple,1628.4364013671875
107,e,5,orange,945.4050903320312
107,f,6,cyan,1323.7999267578125
107,g,7,magenta,644.0039672851562
107,h,8,brown,1890.517822265625
107,i,9,yellow,7137.95703125
107,j,10,pink,4445.447265625
108,a,1,red,17800.13671875
108,b,2,blue,714.1686401367188
108,c,3,green,5122.15283203125
108,d,4,purple,2029.43310546875
109,a,1,red,17011.41015625
109,b,2,blue,6335.2939453125
109,c,3,green,196.45489501953125
109,d,4,purple,2065.551025390625
110,a,1,red,395.8431396484375
110,b,2,blue,418.85491943359375
110,c,3,green,2725.556884765625
110,d,4,purple,1016.293701171875
110,e,5,orange,185.91343688964844
110,f,6,cyan,4329.6552734375
110,g,7,magenta,958.1097412109375
110,h,8,brown,18072.515625
110,i,9,yellow,3118.952880859375
111,a,1,red,6220.14892578125
111,b,2,blue,16113.84765625
111,c,3,green,7355.29833984375
111,d,4,purple,478.54248046875
111,e,5,orange,2944.931640625
111,f,6,cyan,63.635292053222656
111,g,7,magenta,1683.86669921875
111,h,8,brown,3403.0537109375
112,a,1,red,17403.357421875
112,b,2,blue,5849.482421875
112,c,3,green,5071.6943359375
112,d,4,purple,1550.368896484375
113,a,1,red,12475.01171875
113,b,2,blue,15292.1650390625
113,c,3,green,1796.521484375
114,a,1,red,11005.5888671875
114,b,2,blue,16163.501953125
114,c,3,green,1366.494140625
115,a,1,red,17958.568359375
115,b,2,blue,2722.36083984375
115,c,3,green,1488.5411376953125
115,d,4,purple,4579.18359375
115,e,5,orange,1319.9141845703125
116,a,1,red,17094.86328125
116,b,2,blue,8769.751953125
116,c,3,green,1637.4039306640625
117,a,1,red,15284.8984375
117,b,2,blue,1251.6588134765625
117,c,3,green,5385.3564453125
117,d,4,purple,8127.7978515625
117,e,5,orange,5873.640625
117,f,6,cyan,1376.153076171875
118,a,1,red,2255.30224609375
118,b,2,blue,645.933349609375
118,c,3,green,192.36862182617188
118,d,4,purple,2624.91357421875
118,e,5,orange,898.084228515625
118,f,6,cyan,12431.6123046875
118,g,7,magenta,11197.921875
118,h,8,brown,7484.6982421875
119,a,1,red,15817.7724609375
119,b,2,blue,4341.56884765625
119,c,3,green,9320.6162109375
119,d,4,purple,2737.1376953125
120,a,1,red,8684.7412109375
120,b,2,blue,16495.435546875
120,c,3,green,208.11764526367188
120,d,4,purple,356.29290771484375
120,e,5,orange,3872.86181640625
120,f,6,cyan,2478.572509765625
121,a,1,red,12859.283203125
121,b,2,blue,7725.470703125
121,c,3,green,9134.5146484375
121,d,4,purple,3377.064208984375
121,e,5,orange,3631.510009765625
121,f,6,cyan,5156.34521484375
121,g,7,magenta,2791.33740234375
122,a,1,red,2148.015625
122,b,2,blue,18550.5390625
122,c,3,green,2048.07861328125
122,d,4,purple,525.1159057617188
122,e,5,orange,696.5940551757812
