state,question,choice,answer,pct
AK,64,a,sub,89.13
AK,64,c,hoagie,10.87
AK,65,a,lightning bug,6.52
AK,65,b,firefly,54.35
AK,65,c,I use lightning bug and firefly interchangeably,36.96
AK,65,e,I have no word for this,2.17
AK,66,a,crawfish,44.44
AK,66,b,crayfish,17.78
AK,66,e,crawdad,17.78
AK,66,g,I have no word for this critter,15.56
AK,66,h,other,4.44
AK,67,a,daddy long leg(s),97.83
AK,67,b,daddy big legs,2.17
AK,68,a,grandmother,9.09
AK,68,b,granny,2.27
AK,68,c,grandma,54.55
AK,68,d,nana,11.36
AK,68,f,grammy/grammie/grammi,4.55
AK,68,g,other,18.18
AK,69,a,grandmother,8.89
AK,69,b,granny,4.44
AK,69,c,grandma,48.89
AK,69,d,gramma,17.78
AK,69,e,nana,4.44
AK,69,f,other,15.56
AK,70,b,grandpa,23.91
AK,70,c,grampa,8.7
AK,70,d,"grandad, granddad",10.87
AK,70,f,"I spell it ""grandpa"" but pronounce it as ""grampa""",39.13
AK,70,g,other (including if you use a different term to address him directly than you do when speaking about him to a third party),17.39
AK,71,b,grandpa,44.19
AK,71,c,grampa,34.88
AK,71,e,other,20.93
AK,72,a,dust bunnies,84.78
AK,72,e,dust balls,15.22
AK,73,a,sneakers,31.11
AK,73,k,other,6.67
AK,73,c,gymshoes,4.44
AK,73,f,tennis shoes,57.78
AK,74,a,pill bug,17.39
AK,74,k,centipede,4.35
AK,74,l,"I know what this creature is, but have no word for it",6.52
AK,74,m,I have no idea what this creature is,23.91
AK,74,n,other,2.17
AK,74,b,doodle bug,4.35
AK,74,c,potato bug,13.04
AK,74,d,roly poly,23.91
AK,74,e,sow bug,4.35
AK,75,a,shopping cart,80.0
AK,75,c,grocery cart,15.56
AK,75,h,other,4.44
AK,76,a,kitty-corner,73.91
AK,76,d,catty-corner,15.22
AK,76,g,"I can only use ""diagonal"" for this",6.52
AK,76,h,I have no term for this,4.35
AK,77,a,doing donuts,54.55
AK,77,b,doing cookies,4.55
AK,77,c,whipping shitties,2.27
AK,77,d,other,38.64
AK,78,a,scratch paper,42.22
AK,78,b,scrap paper,15.56
AK,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",37.78
AK,78,d,other,4.44
AK,79,a,highway,50.0
AK,79,b,freeway,8.7
AK,79,g,a freeway is bigger than a highway,15.22
AK,79,i,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",26.09
AK,80,a,sunshower,6.82
AK,80,c,the devil is beating his wife,6.82
AK,80,g,liquid sun,6.82
AK,80,h,I have no term or expression for this,72.73
AK,80,i,other,6.82
AK,81,a,goose bumps,97.83
AK,81,c,goose pimples,2.17
AK,82,k,eye crusties,2.22
AK,82,l,sand,6.67
AK,82,n,gunk,4.44
AK,82,o,matter,2.22
AK,82,p,I have no word for this,2.22
AK,82,q,other,11.11
AK,82,b,sleep,37.78
AK,82,e,sleepies,6.67
AK,82,f,sleepy seed,2.22
AK,82,g,sleepy bugs,4.44
AK,82,h,eye booger,17.78
AK,82,i,eye shit,2.22
AK,83,a,gut,9.3
AK,83,b,crypt course,2.33
AK,83,e,blow-off,25.58
AK,83,g,other,62.79
AK,84,a,rotary,6.52
AK,84,b,roundabout,36.96
AK,84,c,circle,4.35
AK,84,d,traffic circle,28.26
AK,84,f,I have no word for this,21.74
AK,84,g,other,2.17
AK,85,a,(hair) elastic,4.65
AK,85,b,rubber band,23.26
AK,85,d,hair thing,13.95
AK,85,e,hair tie,18.6
AK,85,f,other,39.53
AK,86,a,yes,22.22
AK,86,b,"no, but I know what it means",46.67
AK,86,c,I have no idea what this means,31.11
AK,87,a,yes,76.09
AK,87,b,"no, but I know what it means",21.74
AK,87,c,I have no idea what this means,2.17
AK,88,a,duck-footed,31.11
AK,88,c,splay-footed,6.67
AK,88,d,bow-legged,22.22
AK,88,e,toed out,8.89
AK,88,f,other,4.44
AK,88,g,I have no word for this,26.67
AK,89,a,yes,19.57
AK,89,b,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",8.7
AK,89,c,no,67.39
AK,89,d,I have never heard that usage before,4.35
AK,90,a,coffin,73.91
AK,90,b,casket,6.52
AK,90,c,"a coffin and a casket are not the same, and I know the difference",10.87
AK,90,d,other,8.7
AK,91,a,vinegar and oil,13.33
AK,91,b,oil and vinegar,66.67
AK,91,c,both sound equally good to me,13.33
AK,91,d,neither,6.67
AK,92,c,other,100.0
AK,93,a,on line,2.17
AK,93,b,in line,97.83
AK,94,a,frosting,36.96
AK,94,b,icing,8.7
AK,94,c,"icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice",39.13
AK,94,d,both,13.04
AK,94,f,other,2.17
AK,95,a,New York City,25.0
AK,95,b,Boston,2.27
AK,95,c,DC,2.27
AK,95,f,other,70.45
AK,96,a,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",4.35
AK,96,b,"supper is an evening meal, dinner is the main meal",6.52
AK,96,c,dinner takes place in a more formal setting than supper,4.35
AK,96,d,there is no distinction; they both have the same meaning,50.0
AK,96,e,I do not use the term supper,30.43
AK,96,g,other,4.35
AK,97,a,trash can,36.96
AK,97,b,garbage can,34.78
AK,97,e,These words refer to different things,26.09
AK,97,f,other,2.17
AK,98,a,By accident,62.22
AK,98,b,On accident,15.56
AK,98,c,both,20.0
AK,98,d,neither,2.22
AK,99,a,frontage road,61.36
AK,99,b,service road,6.82
AK,99,c,access road,11.36
AK,99,f,we have them but I have no word for them,13.64
AK,99,g,I've never heard of this concept,4.55
AK,99,h,other,2.27
AK,100,a,cut the grass,6.82
AK,100,c,mow the grass,6.82
AK,100,d,mow the lawn,79.55
AK,100,e,other,6.82
AK,101,b,hand in,67.39
AK,101,c,both,10.87
AK,101,e,other,21.74
AK,102,a,waterbug,24.44
AK,102,j,I have no word for this,37.78
AK,102,k,other,4.44
AK,102,c,waterstrider,22.22
AK,102,e,water-spider,2.22
AK,102,g,water beetle,6.67
AK,102,i,skimmer,2.22
AK,103,c,drinking fountain,47.83
AK,103,d,water fountain,50.0
AK,103,e,other,2.17
AK,104,a,the subway,86.67
AK,104,c,the T,2.22
AK,104,d,the metro,2.22
AK,104,e,BART,2.22
AK,104,f,other,6.67
AK,105,a,soda,41.3
AK,105,j,other,10.87
AK,105,b,pop,32.61
AK,105,c,coke,10.87
AK,105,e,soft drink,4.35
AK,106,a,tp'ing,68.89
AK,106,b,rolling,2.22
AK,106,c,toilet papering,17.78
AK,106,g,I have no word for this,8.89
AK,106,h,other,2.22
AK,107,a,rubberneck,4.35
AK,107,b,rubbernecking,8.7
AK,107,c,"rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself",67.39
AK,107,i,I have no word for this,19.57
AK,108,a,"[æ] as in ""sat""",86.67
AK,108,b,"[ɛ] as in ""set""",2.22
AK,108,c,"[e:] as in ""say""",11.11
AK,109,a,bag,89.13
AK,109,b,sack,8.7
AK,109,d,other,2.17
AK,110,f,devil's night,6.52
AK,110,g,devil's eve,2.17
AK,110,h,I have no word for this,89.13
AK,110,i,other,2.17
AK,111,a,end,6.52
AK,111,b,heel,80.43
AK,111,c,crust,13.04
AK,112,a,barbituate,84.78
AK,112,b,barbiturate,4.35
AK,112,c,I don't use either of these,6.52
AK,112,d,other,4.35
AK,113,a,f,39.13
AK,113,b,p,58.7
AK,113,c,other,2.17
AK,114,a,[s],50.0
AK,114,b,[z],47.83
AK,114,c,other,2.17
AK,115,a,a moot point,95.65
AK,115,b,a mute point,4.35
AK,116,a,"[sp] (as in ""desperate"")",82.61
AK,116,b,"[zb] (rhymes with ""lesbian"")",17.39
AK,117,a,basement,65.22
AK,117,c,"I use both, and they mean the same thing",2.17
AK,117,d,"A basement is finished (for example with plastered or painted walls, carpets, etc.), whereas a cellar is unfinished (made up of bare stone or cement, used only for storage).",15.22
AK,117,e,"A cellar has an outside entrance (some call this a ""bulkhead""), whereas a basement does not",15.22
AK,117,f,other,2.17
AK,118,d,beer barn,6.52
AK,118,f,"we have these in my area, but we have no special term for them",21.74
AK,118,g,I have never heard of such a thing,63.04
AK,118,h,other,8.7
AK,119,a,take-out,76.09
AK,119,b,carry-out,4.35
AK,119,c,either take-out or carry-out,17.39
AK,119,d,other,2.17
AK,120,a,dibs,17.39
AK,120,b,shotgun,78.26
AK,120,f,other,4.35
AK,121,a,ogle,34.78
AK,121,b,oogle,10.87
AK,121,c,"oggle (pronounced to rhyme with ""boggle"", but may still be spelled ""ogle"")",28.26
AK,121,d,I use both oogle and ogle interchangeably,6.52
AK,121,e,"I use both ogle and ""oggle""",8.7
AK,121,f,I have no word for this activity,8.7
AK,121,g,other,2.17
AK,122,a,"expecially (or ""ecspecially"" or ""ekspecially"")",4.35
AK,122,b,especially,91.3
AK,122,c,I use both interchangeably,4.35
AL,1,a,"[ɑ] as in ""ah""",3.73
AL,1,b,"[æ] as in ""ant""",84.23
AL,1,c,"[ɔ] as in ""caught""",1.24
AL,1,d,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",1.24
AL,1,e,"I pronounce it the same as ""ain't""",4.56
AL,1,f,"I use [ɑ/ɔ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",2.49
AL,1,g,"I use [æ] when referring to the general concept of an aunt, but [ɑ/ɔ] when referring to a specific person by name.",0.41
AL,1,h,other,2.07
AL,2,a,"[ɪ] as in ""sit""",68.49
AL,2,b,"[i:] as in ""see""",7.56
AL,2,c,"[ɛ] as in ""set""",19.33
AL,2,d,other,4.62
AL,3,a,"[o:] as in ""Bo""",53.75
AL,3,b,"[u:] as in ""boo""",37.08
AL,3,c,"I have seen this word in print, but have no idea how to pronounce it",3.75
AL,3,d,I have never seen or heard this word,5.0
AL,3,e,other,0.42
AL,4,a,"with 2 syllables (""car-ml"")",20.75
AL,4,b,"with 3 syllables (""carra-mel"")",65.56
AL,4,c,I use both interchangeably,11.62
AL,4,e,other,2.07
AL,5,a,"[i:] as in ""see""",26.14
AL,5,b,"[ɪ] as in ""sit""",64.73
AL,5,c,other,9.13
AL,6,a,"[ɑ] as in ""car"" (""sen-tar"")",64.85
AL,6,b,"[ɔ] as in ""caught""",12.13
AL,6,c,"I use the same vowel in ""car"", ""caught"", and ""centaur""",9.62
AL,6,d,"rhymes with ""sore"" and ""more"" (""sen-tore"")",10.88
AL,6,e,other,2.51
AL,7,a,"with [u:] as in ""coop"" (""coopon"")",55.83
AL,7,b,"with [ju:] as in ""cute"" (""cyoopon"")",42.08
AL,7,c,other,2.08
AL,8,a,"[ɛ] as in ""set""",52.72
AL,8,b,"[e:] as in ""say""",20.92
AL,8,c,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",10.04
AL,8,d,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",15.06
AL,8,e,other,1.26
AL,9,a,"[æ] as in ""man"" (1 syllable, ""cran"")",2.48
AL,9,b,"[ejɑ] (2 syllables, ""cray-ahn"")",65.29
AL,9,c,"[ejɔ] (2 syllables, ""cray-awn"", where the second syllable rhymes with ""dawn"")",30.58
AL,9,d,"[aw] (I pronounce this the same as ""crown"")",1.24
AL,9,e,other,0.41
AL,10,a,"[i:] as in ""see""",95.87
AL,10,b,"[ɪ] as in ""sit""",0.83
AL,10,c,I use both interchangeably,2.48
AL,10,e,"I use both, but they mean two different things (please state how they differ in the comments box)",0.83
AL,11,a,"[o:] as in ""flow"" (""flow-ri-da"")",4.6
AL,11,b,"[ɑ] as in ""ah"" (""flah-ri-da"")",23.01
AL,11,c,"[ɔ] as in ""saw"" (""flaw-ri-da"")",5.44
AL,11,d,"[[backwardsc]] as in ""sore"" (""flore-i-da"")",62.76
AL,11,e,other,4.18
AL,12,a,"[ə] as in ""bird"" (""flurr-ish"")",66.25
AL,12,b,"[[backwardsc]] as in ""sore"" (""flore-ish"")",24.58
AL,12,c,"[[caret]] as in ""sun"" (""fluh-rish"")",5.83
AL,12,d,other (including if you use one pronunciation for the verb and a different pronunciation for the noun),3.33
AL,13,a,"[i:] as in ""see""",12.92
AL,13,b,"[ɪ] as in ""sit""",83.33
AL,13,c,other,3.75
AL,14,a,"with [[backwardsc]j] as in ""boy"" (""loyer"")",22.82
AL,14,b,"with [ɔ] as in ""saw"" (""law-yer"")",69.29
AL,14,c,I use both interchangeably,7.05
AL,14,d,other,0.83
AL,15,a,all 3 are the same,53.75
AL,15,b,all 3 are different,6.67
AL,15,c,Mary and merry are the same; marry is different,22.92
AL,15,d,merry and marry are the same; Mary is different,2.08
AL,15,e,Mary and marry are the same; merry is different,14.58
AL,16,a,"with [æ] as in ""man"" (2 syllables--""man-aze"")",52.72
AL,16,b,"with [ejə] (3 syllables--""may-uh-naze"")",37.24
AL,16,c,I use both interchangeably,8.79
AL,16,d,other,1.26
AL,17,a,"[i:] as in ""near""",61.18
AL,17,b,"[ɪ] as in ""knit""",29.96
AL,17,c,"[ɛ] as in ""net""",3.38
AL,17,d,I say something in between [ɪ] and [ɛ],4.64
AL,17,e,other,0.84
AL,18,a,mischievous (3 syllables),34.6
AL,18,b,mischievious (4 syllables),38.4
AL,18,c,"I write ""mischievous"" but say ""mischievious""",10.13
AL,18,d,I use both,16.88
AL,19,a,"[e:] as in ""say""",66.24
AL,19,b,"[i:] as in ""see""",13.92
AL,19,c,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",13.5
AL,19,d,"other (e.g. do you use one vowel in some day names, and another in the other names?)",6.33
AL,20,a,"[æ] as in ""jam""",15.68
AL,20,b,"[ɑ] as in ""father""",82.63
AL,20,c,other,1.69
AL,21,a,"[pi:kæn] with stress on the first syllable (""PEE-can"")",4.26
AL,21,b,"[pi:kæn] with stress on the second syllable (""pee-CAN"")",3.83
AL,21,c,"[pi:kɑn] with stress on the first syllable (""PEE-Kahn"")",8.09
AL,21,d,"[pi:kɑn] with stress on the second syllable (""pee-KAHN"")",30.64
AL,21,e,"[pɪkæn] (""pick Ann"")",0.85
AL,21,f,"[pɪkɑn] (""pick Ahn"")",43.83
AL,21,g,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",1.28
AL,21,h,other,7.23
AL,22,a,one syllable,21.61
AL,22,b,two syllables,78.39
AL,23,a,"[i:] as in ""see"" (""reely"")",30.21
AL,23,b,"[ɪ] as in ""sit"" (""rilly"")",49.36
AL,23,c,"[iə] (""ree-l-y"")",9.79
AL,23,d,other (including if you use two or more of these interchangeably),10.64
AL,24,a,"2 syllables (""reel-ter"")",49.79
AL,24,b,"3 syllables (real[ə]tor, in other words ""reel-uh-ter"")",32.07
AL,24,c,3 syllables (ree-l-ter),15.19
AL,24,e,other,2.95
AL,25,a,"[u:] as in ""food""",90.64
AL,25,b,"[ʌ] as in ""foot""",3.4
AL,25,c,these four words do not all have the same vowel (please use the comments box to let us know which is which),5.96
AL,26,a,"rhymes with ""hoot""",23.83
AL,26,b,"rhymes with ""out""",33.19
AL,26,c,I can pronounce it either way interchangeably,24.68
AL,26,d,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",11.91
AL,26,e,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",5.96
AL,26,f,other,0.43
AL,27,a,"[i] ""sear-up""",19.41
AL,27,b,"[ɪ] ""sih-rup""",13.5
AL,27,c,"[ə] as in ""sir""",66.67
AL,27,d,other,0.42
AL,28,a,different,73.93
AL,28,b,same,26.07
AL,29,a,"all-mond (first syllable sounds like ""all"")",72.22
AL,29,b,ah-mond (no l),11.11
AL,29,c,"aw-mond (if different from ""ah-mond"")",5.13
AL,29,d,I say something in between l and nothing,9.4
AL,29,e,other,2.14
AL,30,a,"[s] as in ""sock""",88.89
AL,30,b,"[[sh]] as in ""shock""",11.11
AL,31,a,asteri[ks],7.69
AL,31,b,asteri[sk],41.88
AL,31,c,asteri[k] (with no s in the final cluster),48.72
AL,31,d,other,1.71
AL,32,a,I pronounce the first d,45.3
AL,32,b,I don't pronounce the first d,25.64
AL,32,c,I vary freely between pronouncing the first d and not doing so,8.97
AL,32,d,I only pronounce the first d when I'm speaking slowly/carefully,19.23
AL,32,f,other,0.85
AL,33,a,[s],23.93
AL,33,b,[z],54.7
AL,33,c,both are acceptable to me,20.94
AL,33,d,other,0.43
AL,34,a,pronounced e[ts]etera (4 syllables),57.76
AL,34,b,pronounced e[ts]etra (3 syllables),12.5
AL,34,c,pronounced eksetera (4 syllables),18.97
AL,34,d,pronounced eksetra (3 syllables),8.19
AL,34,e,other,2.59
