question,text,respondents,n_choices
112,How do you pronounce the word for the type of drug that acts as central nervous system depressant and is used as a sedative or hypnotic? (Please do not look up the word in a dictionary before answering this question.),10667,4
113,amphitheater,10661,3
114,citizen,10658,3
115,"What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?",10663,5
116,"How do you pronounce the -sp- sequence in ""thespian"" (the word meaning ""actor"")?",10525,3
117,What do you call the level of a building that is partly or entirely underground?,10677,6
118,What do you call a drive-through liquor store?,10458,8
119,What do you call food that you buy at a restaurant but then eat at home?,10669,4
120,What do you say when you want to lay claim to the front seat of a car?,10648,6
121,What word do you use for gawking at someone in a lustful way?,10643,7
122,"Do you say ""expecially"", or ""especially""?",10707,5
