cambridge_id,cambridge_choice,hds_question,hds_choice,confidence,note
258,"I write ""mischievous"" but say ""mischievious""",18,"I write ""mischievous"" but say ""mischievious""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
259,"[e:] as in ""say""",19,"[e:] as in ""say""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
259,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",19,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
259,"[i:] as in ""see""",19,"[i:] as in ""see""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
260,"[ɑ] as in ""father""",20,"[ɑ] as in ""father""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
260,"[æ] as in ""jam""",20,"[æ] as in ""jam""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"[pi:kɑn] with stress on the second syllable (""pee-KAHN"")",21,"[pi:kæn] with stress on the second syllable (""pee-CAN"")",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"[pɪkɑn] (""pick Ahn"")",21,"[pɪkæn] (""pick Ann"")",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"[pi:kæn] with stress on the first syllable (""PEE-can"")",21,"[pi:kæn] with stress on the first syllable (""PEE-can"")",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"[pi:kɑn] with stress on the first syllable (""PEE-Kahn"")",21,"[pi:kæn] with stress on the first syllable (""PEE-can"")",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"[pi:kæn] with stress on the second syllable (""pee-CAN"")",21,"[pi:kæn] with stress on the second syllable (""pee-CAN"")",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
261,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",21,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
262,two syllables,22,two syllables,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
262,one syllable,22,one syllable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
263,"[i:] as in ""see"" (""reely"")",23,"[i:] as in ""see"" (""reely"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
263,"[ɪ] as in ""sit"" (""rilly"")",23,"[ɪ] as in ""sit"" (""rilly"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
263,"[iə] (""ree-l-y"")",23,"[iə] (""ree-l-y"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
264,"2 syllables (""reel-ter"")",24,"2 syllables (""reel-ter"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
264,"3 syllables (real[ə]tor, in other words ""reel-uh-ter"")",24,"3 syllables (real[ə]tor, in other words ""reel-uh-ter"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
264,3 syllables (ree-l-ter),24,"3 syllables (real[ə]tor, in other words ""reel-uh-ter"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
265,"[u:] as in ""food""",25,"[u:] as in ""food""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
265,these four words do not all have the same vowel (please use the comments box to let us know which is which),25,these four words do not all have the same vowel (please use the comments box to let us know which is which),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
265,"[ʊ] as in ""foot""",25,"[ʌ] as in ""foot""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
266,I can pronounce it either way interchangeably,26,I can pronounce it either way interchangeably,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
266,"rhymes with ""hoot""",26,"rhymes with ""hoot""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
266,"rhymes with ""out""",26,"rhymes with ""out""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
266,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",26,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
266,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",26,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
267,"[ə] as in ""sir""",27,"[ə] as in ""sir""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
267,"[i] ""sear-up""",27,"[i] ""sear-up""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
267,"[ɪ] ""sih-rup""",27,"[ɪ] ""sih-rup""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
268,different,28,different,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
268,same,28,same,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
269,"all-mond (first syllable sounds like ""all"")",29,"all-mond (first syllable sounds like ""all"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
269,ah-mond (no l),29,ah-mond (no l),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
269,I say something in between l and nothing,29,I say something in between l and nothing,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
269,"aw-mond (if different from ""ah-mond"")",29,"aw-mond (if different from ""ah-mond"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
270,"[s] as in ""sock""",30,"[s] as in ""sock""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
271,asteri[sk],31,asteri[sk],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
271,asteri[k] (with no s in the final cluster),31,asteri[k] (with no s in the final cluster),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
271,asteri[ks],31,asteri[ks],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
272,I pronounce the first d,32,I pronounce the first d,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
272,I don't pronounce the first d,32,I don't pronounce the first d,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
272,I only pronounce the first d when I'm speaking slowly/carefully,32,I only pronounce the first d when I'm speaking slowly/carefully,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
272,I vary freely between pronouncing the first d and not doing so,32,I vary freely between pronouncing the first d and not doing so,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
273,[z],33,[z],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
273,[s],33,[s],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
273,both are acceptable to me,33,both are acceptable to me,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
274,pronounced e[ts]etera (4 syllables),34,pronounced e[ts]etera (4 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
274,pronounced eksetera (4 syllables),34,pronounced eksetera (4 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
274,pronounced e[ts]etra (3 syllables),34,pronounced e[ts]etra (3 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
274,pronounced eksetra (3 syllables),34,pronounced eksetra (3 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
275,I use both interchangeably,35,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
276,"[s] as in ""sock""",36,"[s] as in ""sock""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
277,I pronounce the h,37,I pronounce the h,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
277,I don't pronounce the h,37,I don't pronounce the h,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
277,I can pronounce the h or not,37,I can pronounce the h or not,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
278,"[s] as in ""sock""",38,"[s] as in ""sock""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
279,[s],39,[s],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
279,[z],39,[z],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
280,with [kw],40,with [kw],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
280,"with [k] (""cor-ter"")",40,"with [k] (""cor-ter"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
280,I use both interchangeably,40,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,spigot,41,spigot,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,I don't use either version of this word,41,I don't use either version of this word,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,spicket,41,spicket,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,"I say ""spicket"" but spell it ""spigot""",41,"I say ""spicket"" but spell it ""spigot""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,I use both interchangeably,41,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
281,I use both with different meanings (please explain how in the comments box),41,I use both with different meanings (please explain how in the comments box),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
282,"the ""g"" is pronounced as [k]",42,"the ""g"" is pronounced as [k]",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
282,"the ""g"" is pronounced as [ʒ]",42,"the ""g"" is pronounced as [g]",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
282,"the ""g"" is silent",42,"the ""g"" is silent",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
283,[s],43,[s],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
283,[z],43,[z],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
283,either one,43,either one,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
284,CREAM cheese (stress on the first syllable),44,CREAM cheese (stress on the first syllable),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
284,cream CHEESE (stress on the second syllable),44,CREAM cheese (stress on the first syllable),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
284,it sounds right either way,44,it sounds right either way,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
285,inSURance (stress on the second syllable),45,INsurance (stress on the first syllable),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
285,INsurance (stress on the first syllable),45,INsurance (stress on the first syllable),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
285,I can stress either the first or the second syllable,45,I can stress either the first or the second syllable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
286,NEW Haven,46,NEW Haven,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
286,New HAVEN,46,NEW Haven,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
286,I use both interchangeably,46,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
287,ThanksGIVing,47,THANKSgiving,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
287,THANKSgiving,47,THANKSgiving,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
287,I use both interchangeably,47,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
288,umBRELLa,48,UMbrella,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
288,UMbrella,48,UMbrella,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
289,dragged,49,dragged,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
289,drug,49,drug,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
289,I use both interchangeably,49,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
290,you guys,50,you guys,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
290,you,50,you,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
290,y'all,50,y'all,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
290,you all,50,you all,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
291,no,51,no,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
291,yes,51,yes,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
292,no,52,no,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
292,yes,52,yes,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
292,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",52,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
293,no,53,no,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
293,yes (please consider adding which combinations of modals you use in the comments box),53,yes (please consider adding which combinations of modals you use in the comments box),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
294,"this use of ""anymore"" is unacceptable",54,"this use of ""anymore"" is unacceptable",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
294,"this use of ""anymore"" is acceptable",54,"this use of ""anymore"" is acceptable",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
294,not sure,54,not sure,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
295,unacceptable,55,unacceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
295,acceptable,55,acceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
295,not sure,55,not sure,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
296,unacceptable,56,unacceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
296,acceptable,56,acceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
296,not sure,56,not sure,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
297,unacceptable,57,unacceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
297,acceptable,57,acceptable,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
297,not sure,57,not sure,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
298,garage sale,58,garage sale,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
298,yard sale,58,yard sale,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
298,rummage sale,58,rummage sale,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
298,tag sale,58,tag sale,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
